L,H,seed,variant,baseline_mse,student_mse_init,student_mse,fgl_delta,init_delta
20,15,1,E,118.66666666666667,107.98958333333333,94.14236111111111,20.666549625468164,12.822738818687496
20,30,0,A,118.69618055555556,110.97395833333333,120.13020833333333,-1.2081498924951313,-8.250809593091473
20,30,1,A,119.77604166666667,120.515625,130.94618055555554,-9.325854096911176,-8.654940432458897
20,30,0,E,118.69618055555556,110.97395833333333,81.52604166666667,31.315362225570066,26.53588022715539
20,30,1,E,119.77604166666667,120.515625,94.60590277777777,21.014335203142448,21.499056427099994
20,45,0,A,122.32118055555556,139.05902777777777,137.79513888888889,-12.650268958371768,0.9088866138979728
20,45,1,A,130.12847222222223,131.11111111111111,123.33159722222223,5.22320356485311,5.933527542372879
20,45,0,E,122.32118055555556,139.05902777777777,94.70486111111111,22.576890869608413,31.89592748882618
20,45,1,E,130.12847222222223,131.11111111111111,78.75,39.48288283480535,39.936440677966104
20,60,0,A,14.791666666666666,15.208333333333334,15.484375,-4.6830985915492995,-1.8150684931506809
20,60,1,A,14.87326388888889,15.309027777777779,16.37326388888889,-10.085210692190966,-6.951689725561348
20,60,0,E,14.791666666666666,15.208333333333334,15.803819444444445,-6.842723004694841,-3.9155251141552485
20,60,1,E,14.87326388888889,15.309027777777779,15.772569444444445,-6.046457336290415,-3.027897482422314
35,5,0,A,106.43923611111111,106.48090277777777,106.51909722222223,-0.07502976724461631,-0.035869760161751876
35,5,1,A,106.46006944444444,106.54513888888889,106.53993055555556,-0.07501508455504936,0.004888381945571569
35,5,0,E,106.43923611111111,106.48090277777777,56.270833333333336,47.13337356668678,47.154060619894665
35,5,1,E,106.46006944444444,106.54513888888889,85.20833333333333,19.962166305180936,20.026071370376407
35,15,0,A,113.43055555555556,109.03819444444444,108.35590277777777,4.473796987878053,0.625736394611984
35,15,1,A,132.08333333333334,109.49826388888889,119.80729166666667,9.294164037854893,-9.414786510440623
35,15,0,E,113.43055555555556,109.03819444444444,78.57986111111111,30.724256152810085,27.93363691367066
35,15,1,E,132.08333333333334,109.49826388888889,86.06770833333333,34.83832807570979,21.398106895403597
35,30,0,A,128.19444444444446,132.71527777777777,130.84375,-2.0666305525460356,1.4101826173407939
35,30,1,A,126.890625,128.01909722222223,130.74652777777777,-3.038760962661955,-2.1304872591166037
35,30,0,E,128.19444444444446,132.71527777777777,103.01388888888889,19.642470205850497,22.379781277798124
35,30,1,E,126.890625,128.01909722222223,91.92361111111111,27.556814294900732,28.19539185505635
35,45,0,A,15.140625,15.03298611111111,15.085069444444445,0.3669303978901489,-0.3464603302921855
35,45,1,A,14.949652777777779,14.63888888888889,44.748263888888886,-199.32644292184412,-205.68074003795064
35,45,0,E,15.140625,15.03298611111111,16.30034722222222,-7.6596720559568805,-8.430534703776416
35,45,1,E,14.949652777777779,14.63888888888889,14.913194444444445,0.24387411450470722,-1.8738140417457292
35,60,0,A,14.241319444444445,29.97048611111111,30.020833333333332,-110.80092649030841,-0.1679893413659245
35,60,1,A,14.229166666666666,30.223958333333332,44.05381944444444,-209.6022449975598,-45.75794129473261
35,60,0,E,14.241319444444445,29.97048611111111,14.453125,-1.4872607582591721,51.77547355616058
35,60,1,E,14.229166666666666,30.223958333333332,14.366319444444445,-0.9638848218643297,52.46711471078178
50,5,0,A,106.45659722222223,106.46354166666667,106.47916666666667,-0.02120060666351227,-0.014676385695416074
50,5,1,A,106.45138888888889,83.13715277777777,106.46527777777777,-0.013047165503291444,-28.05980746340343
